leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,p05,JIG1,TOP,1,334,334.0,1.58083,0.014423304059749984,3,1.0
A1,p05,JIG1,TOP,2,344,344.0,1.5279333333333334,0.006697031680777237,3,1.0
A1,p05,JIG1,TOP,3,333,333.0,1.5003866666666668,0.02219439193430026,3,1.0
A1,p05,JIG1,TOP,4,343,343.0,1.47176,0.007333805287843353,3,1.0
A1,p05,JIG1,TOP,5,304,304.0,1.43553,0.017615947320538842,2,0.6666666666666666
A1,p05,JIG1,BOTTOM,1,76,76.0,-1.7305,0.022219052635069736,3,1.0
A1,p05,JIG1,BOTTOM,2,77,77.0,-1.7107533333333336,0.01811970290411338,3,1.0
A1,p05,JIG1,BOTTOM,3,116,116.0,-1.6834933333333335,0.009508429593436285,3,1.0
A1,p05,JIG1,BOTTOM,4,117,117.0,-1.5867700000000002,0.008756854458080271,3,1.0
A1,p05,JIG1,BOTTOM,5,78,78.0,-1.5263366666666667,0.010996091729943622,2,0.6666666666666666
B,p05,JIG1,TOP,1,244,244.0,1.4931133333333333,0.020107715766176256,3,1.0
B,p05,JIG1,TOP,2,243,243.0,1.4667066666666668,0.032105932992724816,3,1.0
B,p05,JIG1,TOP,3,234,234.0,1.4064633333333332,0.018142376727797588,3,1.0
B,p05,JIG1,TOP,4,233,233.0,1.3718566666666667,0.023766363485677275,3,1.0
B,p05,JIG1,TOP,5,242,242.0,1.2345,0.029519625675133533,3,1.0
B,p05,JIG1,BOTTOM,1,137,137.0,-1.7941466666666666,0.02506203170801078,3,1.0
B,p05,JIG1,BOTTOM,2,136,136.0,-1.7762366666666667,0.029881570128313766,3,1.0
B,p05,JIG1,BOTTOM,3,138,138.0,-1.62277,0.028125733768205978,3,1.0
B,p05,JIG1,BOTTOM,4,176,176.0,-1.5958066666666666,0.023688886283093402,3,1.0
B,p05,JIG1,BOTTOM,5,147,147.0,-1.5270533333333332,0.030628268533061605,3,1.0
A2,p05,JIG1,TOP,1,264,264.0,1.6979766666666667,0.0189121504153635,3,1.0
A2,p05,JIG1,TOP,2,254,254.0,1.6873566666666668,0.051455835755853184,3,1.0
A2,p05,JIG1,TOP,3,263,263.0,1.68101,0.05046563087884661,3,1.0
A2,p05,JIG1,TOP,4,294,294.0,1.63863,0.04710623844035946,3,1.0
A2,p05,JIG1,TOP,5,253,253.0,1.63556,0.03691570397540867,2,0.6666666666666666
A2,p05,JIG1,BOTTOM,1,156,156.0,-1.28902,0.027461702423557097,3,1.0
A2,p05,JIG1,BOTTOM,2,116,116.0,-1.2511599999999998,0.02387226214668392,3,1.0
A2,p05,JIG1,BOTTOM,3,157,157.0,-1.2133200000000002,0.04317361115311068,3,1.0
A2,p05,JIG1,BOTTOM,4,117,117.0,-1.1860566666666668,0.029114113988465022,3,1.0
A2,p05,JIG1,BOTTOM,5,196,196.0,-1.13792,0.030737789445566797,1,0.3333333333333333
