motor_id,jig_id,eligible_runs,kind,rank,point_index,sweep_angle_deg,mean_error_deg,sd_error_deg,selection_count,selection_rate
P05,JIG4,9,TOP,1,304,304.0,1.66626,0.04664145044914449,9,1.0
P05,JIG4,9,TOP,2,303,303.0,1.6144744444444443,0.054477577981934706,9,1.0
P05,JIG4,9,TOP,3,334,334.0,1.5976277777777779,0.02610195911123232,8,0.8888888888888888
P05,JIG4,9,TOP,4,254,254.0,1.582498888888889,0.05082077292909966,9,1.0
P05,JIG4,9,TOP,5,333,333.0,1.5553577777777778,0.029541150442128062,2,0.2222222222222222
P05,JIG4,9,BOTTOM,1,76,76.0,-1.8136277777777776,0.06491047676950495,9,1.0
P05,JIG4,9,BOTTOM,2,77,77.0,-1.7967333333333333,0.04804536840320825,9,1.0
P05,JIG4,9,BOTTOM,3,36,36.0,-1.6467144444444444,0.049082253694973876,9,1.0
P05,JIG4,9,BOTTOM,4,37,37.0,-1.6279633333333332,0.03164775702952741,9,1.0
P05,JIG4,9,BOTTOM,5,78,78.0,-1.6102377777777777,0.06221507791078013,9,1.0
P05,JIG5,9,TOP,1,264,264.0,2.1378033333333333,0.05173395113462725,9,1.0
P05,JIG5,9,TOP,2,263,263.0,2.11326,0.05720219794728177,9,1.0
P05,JIG5,9,TOP,3,254,254.0,2.108397777777778,0.06269280177535895,9,1.0
P05,JIG5,9,TOP,4,253,253.0,2.0323544444444446,0.05871046033525693,9,1.0
P05,JIG5,9,TOP,5,294,294.0,1.9550377777777779,0.0389889054019787,5,0.5555555555555556
P05,JIG5,9,BOTTOM,1,196,196.0,-1.0314544444444445,0.08573158666896218,9,1.0
P05,JIG5,9,BOTTOM,2,156,156.0,-1.0302255555555557,0.10183215186166782,9,1.0
P05,JIG5,9,BOTTOM,3,157,157.0,-0.9883022222222222,0.08943865576161378,8,0.8888888888888888
P05,JIG5,9,BOTTOM,4,197,197.0,-0.9868711111111111,0.08070894923186096,8,0.8888888888888888
P05,JIG5,9,BOTTOM,5,356,356.0,-0.9624833333333334,0.021877507284880512,7,0.7777777777777778
P05,JIG6,9,TOP,1,304,304.0,1.8999822222222222,0.07742064272172149,9,1.0
P05,JIG6,9,TOP,2,303,303.0,1.8279822222222224,0.03228540954431965,9,1.0
P05,JIG6,9,TOP,3,294,294.0,1.7812166666666667,0.04655676911040972,9,1.0
P05,JIG6,9,TOP,4,264,264.0,1.7524966666666666,0.08019239412188665,5,0.5555555555555556
P05,JIG6,9,TOP,5,293,293.0,1.7510844444444444,0.034428160389102694,7,0.7777777777777778
P05,JIG6,9,BOTTOM,1,36,36.0,-1.31837,0.0304855801978575,9,1.0
P05,JIG6,9,BOTTOM,2,37,37.0,-1.2749066666666666,0.025885875492244782,9,1.0
P05,JIG6,9,BOTTOM,3,76,76.0,-1.1595288888888888,0.06062844246812799,9,1.0
P05,JIG6,9,BOTTOM,4,77,77.0,-1.1161788888888888,0.05429189866924079,9,1.0
P05,JIG6,9,BOTTOM,5,38,38.0,-1.0869544444444446,0.023416394956905253,9,1.0
